          kernel ,  prs ,     m ,     n ,     p ,        GLOPS/s ,   minimum (ms) ,     median (ms),   stab (%)
   rocblas_wo_dt ,   SP ,  1100 ,     4 ,  1100 ,     752.896809 ,       0.011220 ,       0.011246 ,   0.231619
   rocblas_wo_dt ,   SP ,  1200 ,     4 ,  1200 ,     885.970637 ,       0.011357 ,       0.011377 ,   0.174242
   rocblas_wo_dt ,   SP ,  1300 ,     4 ,  1300 ,     999.421285 ,       0.011803 ,       0.011832 ,   0.246440
   rocblas_wo_dt ,   SP ,  1400 ,     4 ,  1400 ,     516.160024 ,       0.026337 ,       0.026601 ,   1.003033
   rocblas_wo_dt ,   SP ,  1500 ,     4 ,  1500 ,     833.676055 ,       0.018380 ,       0.018620 ,   1.310157
   rocblas_wo_dt ,   SP ,  1600 ,     4 ,  1600 ,     989.880073 ,       0.017760 ,       0.017850 ,   0.510136
   rocblas_wo_dt ,   SP ,  1700 ,     4 ,  1700 ,     953.169867 ,       0.020380 ,       0.021191 ,   3.977539
   rocblas_wo_dt ,   SP ,  1800 ,     4 ,  1800 ,     869.744553 ,       0.025721 ,       0.026114 ,   1.528536
   rocblas_wo_dt ,   SP ,  1900 ,     4 ,  1900 ,     857.935323 ,       0.028560 ,       0.029399 ,   2.938476
   rocblas_wo_dt ,   SP ,  2000 ,     4 ,  2000 ,     972.414255 ,       0.028041 ,       0.028815 ,   2.759899
   rocblas_wo_dt ,   SP ,  2100 ,     4 ,  2100 ,    1039.722202 ,       0.029555 ,       0.029695 ,   0.473528
   rocblas_wo_dt ,   SP ,  2200 ,     4 ,  2200 ,    1141.458458 ,       0.029535 ,       0.029689 ,   0.521481
   rocblas_wo_dt ,   SP ,  2300 ,     4 ,  2300 ,     952.692683 ,       0.038569 ,       0.038819 ,   0.649070
   rocblas_wo_dt ,   SP ,  2400 ,     4 ,  2400 ,    1191.355649 ,       0.033529 ,       0.033789 ,   0.775084
   rocblas_wo_dt ,   SP ,  2500 ,     4 ,  2500 ,    1133.848132 ,       0.038390 ,       0.038569 ,   0.465781
   rocblas_wo_dt ,   SP ,  2600 ,     4 ,  2600 ,    1234.562118 ,       0.037441 ,       0.038369 ,   2.477076
   rocblas_wo_dt ,   SP ,  2700 ,     4 ,  2700 ,    1178.899501 ,       0.043039 ,       0.043268 ,   0.531797
   rocblas_wo_dt ,   SP ,  2800 ,     4 ,  2800 ,    1195.933433 ,       0.045600 ,       0.045910 ,   0.679703
   rocblas_wo_dt ,   SP ,  2900 ,     4 ,  2900 ,    1176.874678 ,       0.049770 ,       0.050020 ,   0.502994
   rocblas_wo_dt ,   SP ,  3000 ,     4 ,  3000 ,    1180.789134 ,       0.053201 ,       0.053358 ,   0.295778
   rocblas_wo_dt ,   SP ,   500 ,     5 ,   500 ,     398.721833 ,       0.005610 ,       0.005641 ,   0.552486
   rocblas_wo_dt ,   SP ,   600 ,     5 ,   600 ,     522.455213 ,       0.006111 ,       0.006130 ,   0.312134
   rocblas_wo_dt ,   SP ,   700 ,     5 ,   700 ,     602.690094 ,       0.007210 ,       0.007310 ,   1.388889
   rocblas_wo_dt ,   SP ,   800 ,     5 ,   800 ,     724.029986 ,       0.007658 ,       0.007770 ,   1.463263
   rocblas_wo_dt ,   SP ,   900 ,     5 ,   900 ,     756.883314 ,       0.008659 ,       0.008819 ,   1.844714
   rocblas_wo_dt ,   SP ,  1000 ,     5 ,  1000 ,     906.086551 ,       0.009914 ,       0.009933 ,   0.192391
   rocblas_wo_dt ,   SP ,  1100 ,     5 ,  1100 ,     953.524610 ,       0.011397 ,       0.011419 ,   0.194553
   rocblas_wo_dt ,   SP ,  1200 ,     5 ,  1200 ,    1121.427658 ,       0.011525 ,       0.011559 ,   0.295827
   rocblas_wo_dt ,   SP ,  1300 ,     5 ,  1300 ,    1274.746485 ,       0.011885 ,       0.011924 ,   0.328994
   rocblas_wo_dt ,   SP ,  1400 ,     5 ,  1400 ,     644.018048 ,       0.027152 ,       0.027388 ,   0.868428
   rocblas_wo_dt ,   SP ,  1500 ,     5 ,  1500 ,    1058.524639 ,       0.018601 ,       0.018911 ,   1.666239
   rocblas_wo_dt ,   SP ,  1600 ,     5 ,  1600 ,    1252.396578 ,       0.018089 ,       0.018148 ,   0.329511
   rocblas_wo_dt ,   SP ,  1700 ,     5 ,  1700 ,    1201.487115 ,       0.020900 ,       0.021582 ,   3.262605
   rocblas_wo_dt ,   SP ,  1800 ,     5 ,  1800 ,    1024.335446 ,       0.028241 ,       0.028487 ,   0.872091
   rocblas_wo_dt ,   SP ,  1900 ,     5 ,  1900 ,    1084.595470 ,       0.029130 ,       0.029941 ,   2.782779
   rocblas_wo_dt ,   SP ,  2000 ,     5 ,  2000 ,    1349.637317 ,       0.025458 ,       0.026691 ,   4.841731
   rocblas_wo_dt ,   SP ,  2100 ,     5 ,  2100 ,    1382.877954 ,       0.028391 ,       0.028670 ,   0.982533
   rocblas_wo_dt ,   SP ,  2200 ,     5 ,  2200 ,    1519.960220 ,       0.028419 ,       0.028610 ,   0.671141
   rocblas_wo_dt ,   SP ,  2300 ,     5 ,  2300 ,    1212.620406 ,       0.039029 ,       0.039210 ,   0.464264
   rocblas_wo_dt ,   SP ,  2400 ,     5 ,  2400 ,    1514.706289 ,       0.034041 ,       0.034158 ,   0.343185
   rocblas_wo_dt ,   SP ,  2500 ,     5 ,  2500 ,    1436.122665 ,       0.038350 ,       0.039220 ,   2.269195
   rocblas_wo_dt ,   SP ,  2600 ,     5 ,  2600 ,    1560.309351 ,       0.038819 ,       0.038979 ,   0.411497
   rocblas_wo_dt ,   SP ,  2700 ,     5 ,  2700 ,    1487.588954 ,       0.043762 ,       0.044100 ,   0.773631
   rocblas_wo_dt ,   SP ,  2800 ,     5 ,  2800 ,    1521.919553 ,       0.046132 ,       0.046320 ,   0.408290
   rocblas_wo_dt ,   SP ,  2900 ,     5 ,  2900 ,    1485.681412 ,       0.050752 ,       0.050950 ,   0.389909
   rocblas_wo_dt ,   SP ,  3000 ,     5 ,  3000 ,    1474.311564 ,       0.053530 ,       0.054991 ,   2.730269
   rocblas_wo_dt ,   SP ,   500 ,     6 ,   500 ,     472.970862 ,       0.005779 ,       0.005810 ,   0.536304
   rocblas_wo_dt ,   SP ,   600 ,     6 ,   600 ,     625.407386 ,       0.006201 ,       0.006261 ,   0.961169
   rocblas_wo_dt ,   SP ,   700 ,     6 ,   700 ,     723.700974 ,       0.007319 ,       0.007460 ,   1.921824
   rocblas_wo_dt ,   SP ,   800 ,     6 ,   800 ,     879.229195 ,       0.007801 ,       0.007920 ,   1.528117
   rocblas_wo_dt ,   SP ,   900 ,     6 ,   900 ,     900.941159 ,       0.008819 ,       0.008960 ,   1.595026
   rocblas_wo_dt ,   SP ,  1000 ,     6 ,  1000 ,    1092.667844 ,       0.010051 ,       0.010067 ,   0.158930
   rocblas_wo_dt ,   SP ,  1100 ,     6 ,  1100 ,    1148.575542 ,       0.011568 ,       0.011590 ,   0.189613
   rocblas_wo_dt ,   SP ,  1200 ,     6 ,  1200 ,    1354.378725 ,       0.011674 ,       0.011697 ,   0.196058
   rocblas_wo_dt ,   SP ,  1300 ,     6 ,  1300 ,    1547.904413 ,       0.011984 ,       0.011999 ,   0.123346
   rocblas_wo_dt ,   SP ,  1400 ,     6 ,  1400 ,     769.475733 ,       0.027849 ,       0.028008 ,   0.571027
   rocblas_wo_dt ,   SP ,  1500 ,     6 ,  1500 ,    1278.476725 ,       0.019021 ,       0.019200 ,   0.940085
   rocblas_wo_dt ,   SP ,  1600 ,     6 ,  1600 ,    1510.278718 ,       0.018320 ,       0.018511 ,   1.041124
   rocblas_wo_dt ,   SP ,  1700 ,     6 ,  1700 ,    1297.423959 ,       0.023508 ,       0.024581 ,   4.563895
   rocblas_wo_dt ,   SP ,  1800 ,     6 ,  1800 ,    1245.238393 ,       0.028466 ,       0.028579 ,   0.397002
   rocblas_wo_dt ,   SP ,  1900 ,     6 ,  1900 ,    1293.105619 ,       0.030160 ,       0.030670 ,   1.691700
   rocblas_wo_dt ,   SP ,  2000 ,     6 ,  2000 ,    1631.568215 ,       0.026140 ,       0.027289 ,   4.396206
   rocblas_wo_dt ,   SP ,  2100 ,     6 ,  2100 ,    1579.369177 ,       0.030129 ,       0.030639 ,   1.693440
   rocblas_wo_dt ,   SP ,  2200 ,     6 ,  2200 ,    1779.769784 ,       0.029230 ,       0.029869 ,   2.185971
   rocblas_wo_dt ,   SP ,  2300 ,     6 ,  2300 ,    1468.839391 ,       0.039330 ,       0.039620 ,   0.739573
   rocblas_wo_dt ,   SP ,  2400 ,     6 ,  2400 ,    1834.855987 ,       0.034208 ,       0.034499 ,   0.850293
   rocblas_wo_dt ,   SP ,  2500 ,     6 ,  2500 ,    1721.507199 ,       0.039792 ,       0.039921 ,   0.323547
   rocblas_wo_dt ,   SP ,  2600 ,     6 ,  2600 ,    1874.856423 ,       0.039489 ,       0.039670 ,   0.458854
   rocblas_wo_dt ,   SP ,  2700 ,     6 ,  2700 ,    1784.040922 ,       0.044689 ,       0.044901 ,   0.474819
   rocblas_wo_dt ,   SP ,  2800 ,     6 ,  2800 ,    1836.951499 ,       0.046711 ,       0.046909 ,   0.423642
   rocblas_wo_dt ,   SP ,  2900 ,     6 ,  2900 ,    1782.331296 ,       0.051701 ,       0.051861 ,   0.308969
   rocblas_wo_dt ,   SP ,  3000 ,     6 ,  3000 ,    1749.008893 ,       0.056422 ,       0.056551 ,   0.228185
   rocblas_wo_dt ,   SP ,   500 ,     7 ,   500 ,     547.819418 ,       0.005901 ,       0.005929 ,   0.484848
   rocblas_wo_dt ,   SP ,   600 ,     7 ,   600 ,     696.709100 ,       0.006640 ,       0.006719 ,   1.184919
   rocblas_wo_dt ,   SP ,   700 ,     7 ,   700 ,     840.666626 ,       0.007460 ,       0.007579 ,   1.597955
   rocblas_wo_dt ,   SP ,   800 ,     7 ,   800 ,    1025.814878 ,       0.007970 ,       0.008039 ,   0.867484
   rocblas_wo_dt ,   SP ,   900 ,     7 ,   900 ,    1045.963542 ,       0.008850 ,       0.009031 ,   2.047414
   rocblas_wo_dt ,   SP ,  1000 ,     7 ,  1000 ,    1273.276547 ,       0.010196 ,       0.010210 ,   0.137963
   rocblas_wo_dt ,   SP ,  1100 ,     7 ,  1100 ,    1339.651722 ,       0.011709 ,       0.011744 ,   0.299322
   rocblas_wo_dt ,   SP ,  1200 ,     7 ,  1200 ,    1604.448725 ,       0.011634 ,       0.011659 ,   0.213128
   rocblas_wo_dt ,   SP ,  1300 ,     7 ,  1300 ,    1804.420698 ,       0.012157 ,       0.012175 ,   0.147085
   rocblas_wo_dt ,   SP ,  1400 ,     7 ,  1400 ,     969.610318 ,       0.025051 ,       0.026271 ,   4.872942
   rocblas_wo_dt ,   SP ,  1500 ,     7 ,  1500 ,    1485.198859 ,       0.018799 ,       0.019531 ,   3.893469
   rocblas_wo_dt ,   SP ,  1600 ,     7 ,  1600 ,    1754.967738 ,       0.018618 ,       0.018761 ,   0.768344
   rocblas_wo_dt ,   SP ,  1700 ,     7 ,  1700 ,    1309.066896 ,       0.028394 ,       0.028716 ,   1.133568
   rocblas_wo_dt ,   SP ,  1800 ,     7 ,  1800 ,    1466.818156 ,       0.028527 ,       0.028739 ,   0.742994
   rocblas_wo_dt ,   SP ,  1900 ,     7 ,  1900 ,    1497.448519 ,       0.030870 ,       0.031340 ,   1.521471
   rocblas_wo_dt ,   SP ,  2000 ,     7 ,  2000 ,    1903.231359 ,       0.026538 ,       0.027580 ,   3.925972
   rocblas_wo_dt ,   SP ,  2100 ,     7 ,  2100 ,    1706.083691 ,       0.033240 ,       0.033531 ,   0.875054
   rocblas_wo_dt ,   SP ,  2200 ,     7 ,  2200 ,    1886.322942 ,       0.031979 ,       0.033481 ,   4.696936
   rocblas_wo_dt ,   SP ,  2300 ,     7 ,  2300 ,    1717.329645 ,       0.039811 ,       0.040021 ,   0.527009
