          kernel ,  prs ,     m ,     n ,     p ,        GLOPS/s ,   minimum (ms) ,     median (ms),   stab (%)
   rocblas_wo_dt ,   SP ,  2900 ,     3 ,  2900 ,     847.422961 ,       0.049138 ,       0.049639 ,   1.018923
   rocblas_wo_dt ,   SP ,  3000 ,     3 ,  3000 ,     864.941334 ,       0.051603 ,       0.052080 ,   0.924044
   rocblas_wo_dt ,   SP ,   500 ,     4 ,   500 ,     326.694891 ,       0.005348 ,       0.005353 ,   0.103413
   rocblas_wo_dt ,   SP ,   600 ,     4 ,   600 ,     430.322003 ,       0.005844 ,       0.005853 ,   0.156457
   rocblas_wo_dt ,   SP ,   700 ,     4 ,   700 ,     473.908032 ,       0.007221 ,       0.007236 ,   0.212264
   rocblas_wo_dt ,   SP ,   800 ,     4 ,   800 ,     582.882937 ,       0.007643 ,       0.007671 ,   0.366139
   rocblas_wo_dt ,   SP ,   900 ,     4 ,   900 ,     650.840013 ,       0.008522 ,       0.008625 ,   1.213742
   rocblas_wo_dt ,   SP ,  1000 ,     4 ,  1000 ,     503.114989 ,       0.010180 ,       0.015059 ,  47.915691
   rocblas_wo_dt ,   SP ,  1100 ,     4 ,  1100 ,     575.518891 ,       0.011520 ,       0.015259 ,  32.450333
   rocblas_wo_dt ,   SP ,  1200 ,     4 ,  1200 ,     675.437908 ,       0.011859 ,       0.015364 ,  29.553679
   rocblas_wo_dt ,   SP ,  1300 ,     4 ,  1300 ,     779.180504 ,       0.012317 ,       0.015540 ,  26.171120
   rocblas_wo_dt ,   SP ,  1400 ,     4 ,  1400 ,     583.379921 ,       0.021877 ,       0.022840 ,   4.402790
   rocblas_wo_dt ,   SP ,  1500 ,     4 ,  1500 ,     833.669402 ,       0.018520 ,       0.018678 ,   0.849640
   rocblas_wo_dt ,   SP ,  1600 ,     4 ,  1600 ,     981.273612 ,       0.017743 ,       0.018020 ,   1.558721
   rocblas_wo_dt ,   SP ,  1700 ,     4 ,  1700 ,     963.603340 ,       0.019941 ,       0.020962 ,   5.117169
   rocblas_wo_dt ,   SP ,  1800 ,     4 ,  1800 ,     984.749875 ,       0.022221 ,       0.022798 ,   2.596566
   rocblas_wo_dt ,   SP ,  1900 ,     4 ,  1900 ,     878.430300 ,       0.027061 ,       0.029039 ,   7.312775
   rocblas_wo_dt ,   SP ,  2000 ,     4 ,  2000 ,    1104.205242 ,       0.023618 ,       0.025382 ,   7.470220
   rocblas_wo_dt ,   SP ,  2100 ,     4 ,  2100 ,    1185.712052 ,       0.025101 ,       0.025640 ,   2.146657
   rocblas_wo_dt ,   SP ,  2200 ,     4 ,  2200 ,    1269.005180 ,       0.025282 ,       0.026836 ,   6.148623
   rocblas_wo_dt ,   SP ,  2300 ,     4 ,  2300 ,     951.729758 ,       0.038581 ,       0.038881 ,   0.778643
   rocblas_wo_dt ,   SP ,  2400 ,     4 ,  2400 ,    1166.850951 ,       0.033660 ,       0.034342 ,   2.025783
   rocblas_wo_dt ,   SP ,  2500 ,     4 ,  2500 ,    1130.074568 ,       0.038443 ,       0.038700 ,   0.669809
   rocblas_wo_dt ,   SP ,  2600 ,     4 ,  2600 ,    1228.733234 ,       0.037417 ,       0.038600 ,   3.160444
   rocblas_wo_dt ,   SP ,  2700 ,     4 ,  2700 ,    1161.202755 ,       0.043516 ,       0.043941 ,   0.975236
   rocblas_wo_dt ,   SP ,  2800 ,     4 ,  2800 ,    1195.509085 ,       0.045538 ,       0.045900 ,   0.795812
   rocblas_wo_dt ,   SP ,  2900 ,     4 ,  2900 ,    1163.539977 ,       0.050058 ,       0.050540 ,   0.962088
   rocblas_wo_dt ,   SP ,  3000 ,     4 ,  3000 ,    1174.078321 ,       0.053277 ,       0.053678 ,   0.751812
   rocblas_wo_dt ,   SP ,   500 ,     5 ,   500 ,     410.897470 ,       0.005464 ,       0.005472 ,   0.146199
   rocblas_wo_dt ,   SP ,   600 ,     5 ,   600 ,     544.748937 ,       0.005935 ,       0.005944 ,   0.154047
   rocblas_wo_dt ,   SP ,   700 ,     5 ,   700 ,     605.589763 ,       0.007268 ,       0.007282 ,   0.199180
   rocblas_wo_dt ,   SP ,   800 ,     5 ,   800 ,     724.458256 ,       0.007765 ,       0.007822 ,   0.735188
   rocblas_wo_dt ,   SP ,   900 ,     5 ,   900 ,     820.947996 ,       0.008602 ,       0.008750 ,   1.711840
   rocblas_wo_dt ,   SP ,  1000 ,     5 ,  1000 ,     648.448708 ,       0.010200 ,       0.015197 ,  48.994858
   rocblas_wo_dt ,   SP ,  1100 ,     5 ,  1100 ,     728.386482 ,       0.011721 ,       0.015459 ,  31.895851
   rocblas_wo_dt ,   SP ,  1200 ,     5 ,  1200 ,     858.224427 ,       0.012097 ,       0.015540 ,  28.458809
